country	year	pop	continent	lifeExp	gdpPercap
Gambia	1952	284320	Africa	30	485.2306591
Gambia	1957	323150	Africa	32.065	520.9267111
Gambia	1962	374020	Africa	33.896	599.650276
Gambia	1967	439593	Africa	35.857	734.7829124
Gambia	1972	517101	Africa	38.308	756.0868363
Gambia	1977	608274	Africa	41.842	884.7552507
Gambia	1982	715523	Africa	45.58	835.8096108
Gambia	1987	848406	Africa	49.265	611.6588611
Gambia	1992	1025384	Africa	52.644	665.6244126
Gambia	1997	1235767	Africa	55.861	653.7301704
Gambia	2002	1457766	Africa	58.041	660.5855997
Gambia	2007	1688359	Africa	59.448	752.7497265
Mauritius	1952	516556	Africa	50.986	1967.955707
Mauritius	1957	609816	Africa	58.089	2034.037981
Mauritius	1962	701016	Africa	60.246	2529.067487
Mauritius	1967	789309	Africa	61.557	2475.387562
Mauritius	1972	851334	Africa	62.944	2575.484158
Mauritius	1977	913025	Africa	64.93	3710.982963
Mauritius	1982	992040	Africa	66.711	3688.037739
Mauritius	1987	1042663	Africa	68.74	4783.586903
Mauritius	1992	1096202	Africa	69.745	6058.253846
Mauritius	1997	1149818	Africa	70.736	7425.705295
Mauritius	2002	1200206	Africa	71.954	9021.815894
Mauritius	2007	1250882	Africa	72.801	10956.99112
Afghanistan	1952	8425333	Asia	28.801	779.4453145
Afghanistan	1957	9240934	Asia	30.332	820.8530296
Afghanistan	1962	10267083	Asia	31.997	853.10071
Afghanistan	1967	11537966	Asia	34.02	836.1971382
Afghanistan	1972	13079460	Asia	36.088	739.9811058
Afghanistan	1977	14880372	Asia	38.438	786.11336
Afghanistan	1982	12881816	Asia	39.854	978.0114388
Afghanistan	1987	13867957	Asia	40.822	852.3959448
Afghanistan	1992	16317921	Asia	41.674	649.3413952
Afghanistan	1997	22227415	Asia	41.763	635.341351
Afghanistan	2002	25268405	Asia	42.129	726.7340548
Afghanistan	2007	31889923	Asia	43.828	974.5803384
Israel	1952	1620914	Asia	65.39	4086.522128
Israel	1957	1944401	Asia	67.84	5385.278451
Israel	1962	2310904	Asia	69.39	7105.630706
Israel	1967	2693585	Asia	70.75	8393.741404
Israel	1972	3095893	Asia	71.63	12786.93223
Israel	1977	3495918	Asia	73.06	13306.61921
Israel	1982	3858421	Asia	74.45	15367.0292
Israel	1987	4203148	Asia	75.6	17122.47986
Israel	1992	4936550	Asia	76.93	18051.52254
Israel	1997	5531387	Asia	78.269	20896.60924
Israel	2002	6029529	Asia	79.696	21905.59514
Israel	2007	6426679	Asia	80.745	25523.2771
Bolivia	1952	2883315	Americas	40.414	2677.326347
Bolivia	1957	3211738	Americas	41.89	2127.686326
Bolivia	1962	3593918	Americas	43.428	2180.972546
Bolivia	1967	4040665	Americas	45.032	2586.886053
Bolivia	1972	4565872	Americas	46.714	2980.331339
Bolivia	1977	5079716	Americas	50.023	3548.097832
Bolivia	1982	5642224	Americas	53.859	3156.510452
Bolivia	1987	6156369	Americas	57.251	2753.69149
Bolivia	1992	6893451	Americas	59.957	2961.699694
Bolivia	1997	7693188	Americas	62.05	3326.143191
Bolivia	2002	8445134	Americas	63.883	3413.26269
Bolivia	2007	9119152	Americas	65.554	3822.137084
Canada	1952	14785584	Americas	68.75	11367.16112
Canada	1957	17010154	Americas	69.96	12489.95006
Canada	1962	18985849	Americas	71.3	13462.48555
Canada	1967	20819767	Americas	72.13	16076.58803
Canada	1972	22284500	Americas	72.88	18970.57086
Canada	1977	23796400	Americas	74.21	22090.88306
Canada	1982	25201900	Americas	75.76	22898.79214
Canada	1987	26549700	Americas	76.86	26626.51503
Canada	1992	28523502	Americas	77.95	26342.88426
Canada	1997	30305843	Americas	78.61	28954.92589
Canada	2002	31902268	Americas	79.77	33328.96507
Canada	2007	33390141	Americas	80.653	36319.23501
Norway	1952	3327728	Europe	72.67	10095.42172
Norway	1957	3491938	Europe	73.44	11653.97304
Norway	1962	3638919	Europe	73.47	13450.40151
Norway	1967	3786019	Europe	74.08	16361.87647
Norway	1972	3933004	Europe	74.34	18965.05551
Norway	1977	4043205	Europe	75.37	23311.34939
Norway	1982	4114787	Europe	75.97	26298.63531
Norway	1987	4186147	Europe	75.89	31540.9748
Norway	1992	4286357	Europe	77.32	33965.66115
Norway	1997	4405672	Europe	78.32	41283.16433
Norway	2002	4535591	Europe	79.05	44683.97525
Norway	2007	4627926	Europe	80.196	49357.19017
Turkey	1952	22235677	Europe	43.585	1969.10098
Turkey	1957	25670939	Europe	48.079	2218.754257
Turkey	1962	29788695	Europe	52.098	2322.869908
Turkey	1967	33411317	Europe	54.336	2826.356387
Turkey	1972	37492953	Europe	57.005	3450.69638
Turkey	1977	42404033	Europe	59.507	4269.122326
Turkey	1982	47328791	Europe	61.036	4241.356344
Turkey	1987	52881328	Europe	63.108	5089.043686
Turkey	1992	58179144	Europe	66.146	5678.348271
Turkey	1997	63047647	Europe	68.835	6601.429915
Turkey	2002	67308928	Europe	70.845	6508.085718
Turkey	2007	71158647	Europe	71.777	8458.276384
